,year,snow,prcp_cm,max_celsius,min_celsius,lat,long,index,stn,mo,da,sndp_cm
1094,2010.0,1803478.232,109.2454,25.72222222222222,-13.5,47.34747157699993,-54.0723868697997,,,,,
1095,2011.0,944785.512,109.6772,22.5,-11.38888888888889,47.34747157699993,-54.0723868697997,,,,,
1096,2012.0,899131.2980000001,107.36580000000001,25.222222222222225,-12.77777777777778,47.34747157699993,-54.0723868697997,,,,,
1097,2013.0,927007.29,115.062,23.72222222222222,-14.11111111111111,47.34747157699993,-54.0723868697997,,,,,
1098,2014.0,1463426.588,115.3414,25.88888888888889,-18.5,47.34747157699993,-54.0723868697997,,,,,
1099,2015.0,1107489.784,116.967,25.0,-15.0,47.34747157699993,-54.0723868697997,,,,,
1100,2016.0,594777.068,105.25760000000001,23.38888888888889,-10.22222222222222,47.34747157699993,-54.0723868697997,,,,,
1101,2017.0,752596.158,93.7768,22.77777777777778,-14.11111111111111,47.34747157699993,-54.0723868697997,,,,,
1102,2018.0,43175.682,0.0,6.77777777777778,-10.77777777777778,47.34747157699993,-54.0723868697997,,,,,
1103,2021.0,30476.952,0.0,24.111111111111114,4.500000000000001,47.34747157699993,-54.0723868697997,,,,,
1104,2022.0,1102249.764,21.1328,26.77777777777778,-12.38888888888889,47.34747157699993,-54.0723868697997,,,,,
1105,2023.0,1653499.36,94.234,26.38888888888889,-18.11111111111111,47.34747157699993,-54.0723868697997,,,,,
1106,2024.0,846466.176,49.2506,18.72222222222222,-13.27777777777778,47.34747157699993,-54.0723868697997,,,,,
1107,1987.0,444231.776,109.3978,31.22222222222222,-21.22222222222222,46.14717422500764,-60.691847733834415,,,,,
1108,1988.0,644737.598,191.5414,32.111111111111114,-25.0,46.14717422500764,-60.691847733834415,,,,,
1109,1989.0,654099.2760000001,142.8242,31.22222222222222,-23.0,46.14717422500764,-60.691847733834415,,,,,
1110,1990.0,628693.942,155.6512,31.88888888888889,-24.38888888888889,46.14717422500764,-60.691847733834415,,,,,
1111,1991.0,762420.878,154.12720000000002,32.72222222222222,-22.22222222222222,46.14717422500764,-60.691847733834415,,,,,
1112,1992.0,628471.438,171.3992,29.22222222222222,-22.61111111111111,46.14717422500764,-60.691847733834415,,,,,
1113,1993.0,621608.612,150.7744,30.0,-24.88888888888889,46.14717422500764,-60.691847733834415,,,,,
1114,1994.0,682814.992,160.1724,33.22222222222222,-27.27777777777778,46.14717422500764,-60.691847733834415,,,,,
1115,1995.0,681762.416,111.6584,32.888888888888886,-22.27777777777778,46.14717422500764,-60.691847733834415,,,,,
1116,1996.0,736985.572,417.9062,31.0,-21.72222222222222,46.14717422500764,-60.691847733834415,,,,,
1117,1997.0,650852.14,134.874,31.0,-19.38888888888889,46.14717422500764,-60.691847733834415,,,,,
1118,1998.0,686332.3840000001,181.8386,31.22222222222222,-14.5,46.14717422500764,-60.691847733834415,,,,,
1119,1999.0,731724.216,2198.5732000000003,32.0,-17.0,46.14717422500764,-60.691847733834415,,,,,
